customer,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
RB50392,Washington,,Master,,0.0,1000.0,,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,F,Bachelor,697953.59%,0.0,94.0,,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,Bachelor,1288743.17%,48767.0,108.0,,Personal Auto,Two-Door Car,566.472247
WW63253,California,M,Bachelor,764586.18%,0.0,106.0,,Corporate Auto,SUV,529.881344
GA49547,Washington,M,High School or Below,536307.65%,36357.0,68.0,,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,Bachelor,825629.78%,62902.0,69.0,,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,College,538089.86%,55350.0,67.0,,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,Master,721610.03%,0.0,101.0,,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,Bachelor,2412750.40%,14072.0,71.0,,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,College,738817.81%,28812.0,93.0,,Special Auto,Four-Door Car,425.527834
SX51350,California,M,College,473899.20%,0.0,67.0,,Personal Auto,Four-Door Car,482.4
VQ65197,California,,College,819719.71%,0.0,110.0,,Personal Auto,SUV,528.0
DP39365,California,,Master,879879.70%,77026.0,110.0,,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,,High School or Below,881901.89%,99845.0,110.0,,Corporate Auto,SUV,528.0
IL66569,California,,College,538443.17%,83689.0,70.0,,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,,Bachelor,746313.94%,24599.0,64.0,,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,,High School or Below,256686.78%,25049.0,67.0,,Personal Auto,Two-Door Car,454.245098
OE15005,Cali,,College,394524.16%,28855.0,101.0,,Personal Auto,SUV,647.442031
WC83389,Oregon,,College,571033.31%,51148.0,72.0,,Personal Auto,Four-Door Car,308.981664
FL50705,California,,High School or Below,816261.71%,66140.0,101.0,,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,,High School or Below,287205.13%,57749.0,74.0,,Personal Auto,Two-Door Car,355.2
